Country,GDP,Population,GDP_Per_Capita,Region,Life_Expectancy,Mean Years of Schooling,Development Status
Moldova,14421,2700000.0,5341,Europe,72.0,11.8,Developing
Niger,13970,24000000.0,582,Africa,62.0,1.5,Developing
North Macedonia,13563,2100000.0,6458,Europe,75.0,9.7,Developing
Rwanda,13313,13000000.0,1024,Africa,68.0,3.7,Developing
Malawi,13165,19000000.0,692,Africa,64.0,4.3,Developing
Mauritius,12898,1300000.0,9921,Africa,74.0,9.3,Developing
"Bahamas, The",12897,,0,Americas,76.0,12.1,Developed
Chad,12704,16000000.0,794,Africa,54.0,2.3,Developing
Namibia,12607,2500000.0,5042,Africa,63.0,6.4,Developing
Equatorial Guinea,11814,1400000.0,8438,Africa,58.0,5.8,Developing
Channel Islands,11736,170000.0,69035,Europe,83.0,12.5,Developed
Syrian Arab Republic,11159,18000000.0,619,Eastern Mediterranean,71.0,6.5,Developing
Kyrgyz Republic,10931,6500000.0,1681,Europe,71.0,10.8,Developing
Tajikistan,10492,9500000.0,1104,Europe,71.0,10.8,Developing
Mauritania,10375,4600000.0,2255,Africa,64.0,4.4,Developing
New Caledonia,10071,290000.0,34727,Western Pacific,77.0,11.0,Developed
Kosovo,9429,1800000.0,5238,Europe,71.0,9.6,Developing
Monaco,8596,39000.0,220410,Europe,89.0,10.0,Developed
Togo,8126,8300000.0,979,Africa,60.0,3.7,Developing
Somalia,8126,16000000.0,507,Africa,57.0,2.4,Developing
Bermuda,7551,64000.0,117984,Americas,81.0,12.0,Developed
Liechtenstein,7186,38000.0,189105,Europe,82.0,12.0,Developed
Isle of Man,6684,85000.0,78635,Europe,81.0,12.2,Developed
Maldives,6190,540000.0,11462,South-East Asia,78.0,6.4,Developing
Guam,6123,170000.0,36017,Western Pacific,79.0,12.1,Developed
Montenegro,6096,620000.0,9832,Europe,76.0,11.6,Developing
French Polynesia,6080,280000.0,21714,Western Pacific,77.0,11.0,Developed
Cayman Islands,6028,65000.0,92738,Americas,81.0,12.1,Developed
Barbados,5638,290000.0,19441,Americas,79.0,9.8,Developing
Fiji,4943,900000.0,5492,Western Pacific,67.0,10.2,Developing
Eswatini,4854,1400000.0,3467,Africa,59.0,7.1,Developing
Virgin Islands (U.S.),4204,,0,Americas,80.0,11.0,Developed
Liberia,4001,5000000.0,800,Africa,63.0,4.4,Developing
Sierra Leone,3970,8000000.0,496,Africa,54.0,3.1,Developing
Faroe Islands,3650,49000.0,74489,Europe,82.0,12.3,Developed
Suriname,3621,590000.0,6137,Americas,71.0,7.6,Developing
Djibouti,3515,1000000.0,3515,Africa,67.0,4.1,Developing
Andorra,3352,77000.0,43532,Europe,82.0,11.0,Developed
Greenland,3236,56000.0,57785,Americas,71.0,12.5,Developed
Timor-Leste,3163,1300000.0,2433,South-East Asia,73.0,2.8,Developing
Aruba,3126,110000.0,28418,Americas,76.0,11.2,Developed
Burundi,3073,12000000.0,256,Africa,61.0,2.7,Developing
