Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bangladesh,1346.743205,1419.137782,1469.845761,1541.185923,1638.916165,1773.888588,1923.417573,2088.720935,2231.689464,2335.918717,2466.902949,2650.729933,2844.702565,3033.404632,3240.885623,3451.398507
Bulgaria,6377.837474,6908.956055,7726.400977,8343.138854,9122.849554,10211.27988,11313.55081,12800.81668,14328.98986,14146.1069,14934.13274,15676.13334,16208.22043,16571.02876,17534.30326,18186.48723
Bahrain,35763.21023,35689.48306,35551.58974,36338.58416,37461.93299,38492.09419,39170.68512,40300.17978,40565.77983,39422.3421,39740.61794,40168.32789,41753.10138,44273.42185,46331.98242,46911.96227
"Bahamas, The",26238.18446,27102.45479,27812.35914,27482.05591,27956.38229,29258.70162,30326.45273,30996.4288,30299.92548,28760.51286,29099.05721,29503.70807,30656.13395,29977.73977,30482.19811,30696.33839
Bosnia and Herzegovina,4547.97267,4751.117361,5136.520313,5373.142659,6200.620711,6479.660192,7406.347448,8188.589841,9028.865381,9030.464332,9347.583517,9976.479662,10304.01646,11016.58285,11433.16053,12013.9825
Belarus,6027.325186,6483.761082,6962.798228,7644.927706,8809.526945,10005.93725,11409.2556,12781.80909,14409.22188,14580.5808,15927.8747,17166.69564,17807.41774,18298.84706,18949.88244,18389.74375
Belize,5437.384498,5658.088689,5873.411376,6369.457477,6669.721807,6873.415769,7214.467355,7297.398433,7484.370023,7403.044146,7555.204308,7694.355111,7886.901934,7913.061672,8179.45644,8371.374376
Bermuda,40694.79221,44112.32699,43861.57041,45898.5812,47914.37378,49909.88091,53960.55659,56666.44157,58305.3793,55337.67603,55241.0749,54984.51039,53137.21507,52547.33309,,
Bolivia,3478.202471,3546.116063,3623.09177,3721.055939,3909.065039,4134.616513,4386.565455,4629.682798,4925.91967,5045.331273,5228.115329,5524.717798,5825.139985,6231.296345,6593.232982,6882.488916
Brazil,9073.976905,9274.24759,9581.992836,9747.941038,10460.55063,11004.95618,11659.39278,12568.1979,13332.14386,13288.43548,14320.36869,15061.95319,15506.55426,16111.44268,16358.39077,15813.85544
Barbados,12734.21678,12659.77483,12917.43431,13399.25767,13905.82076,14850.10279,16099.4947,16765.32442,17170.59085,16392.95742,16164.98116,16321.98342,16582.13009,16607.18236,16861.34651,17386.93959
Brunei Darussalam,65305.76557,67184.3545,69510.20853,71514.39372,72549.22496,73930.4777,78411.6146,79631.19236,78670.55795,76961.8122,78907.87122,82502.9353,83725.42103,82263.49831,80782.0315,80177.75612
Bhutan,2640.679535,2865.296749,3161.84584,3406.512427,3641.685222,3968.817637,4317.784502,5181.00986,5472.363625,5822.685951,6517.066344,7097.18994,7513.686888,7712.881979,8108.300979,8705.598204
Botswana,8528.969125,8574.343766,9076.228393,9506.492466,9849.796995,10421.37193,11401.3476,12409.29787,13158.84871,12007.23239,12964.35144,13838.60282,14558.06641,16310.10289,17092.12224,16724.51778
Central African Republic,676.8110417,706.6981799,728.1662565,687.3649048,733.3177346,748.1942658,791.9856238,834.5316894,852.9298062,919.4085589,962.2919722,1016.218552,1083.689925,699.5928807,710.8121645,744.7345426
Canada,29265.08444,30107.65694,30853.20132,32225.05212,33796.9992,36211.0846,37999.0386,39439.80689,40275.9899,38797.38505,40012.3914,41569.44962,42189.19611,44188.73171,45645.5643,44567.86635
Switzerland,35754.54761,36778.01064,37718.28483,37713.3375,39170.03225,40572.26448,45106.41668,49746.38939,52584.72681,51769.03029,53067.72464,56183.82162,57849.57204,60108.52002,61902.12954,63938.98939
Chile,9553.566623,9972.651027,10333.06363,10841.32389,11812.63501,12746.58339,15753.96299,16941.83598,16501.80692,16159.60523,18161.80392,20342.57092,21507.7074,22439.27836,22786.6556,22688.01003
China,2936.287745,3227.419438,3553.923793,3958.471977,4449.561919,5081.049041,5867.796877,6847.069623,7615.029533,8352.689933,9303.7337,10355.49571,11328.28171,12361.39797,13446.40239,14454.99797
Cameroon,2039.934284,2119.058927,2184.982452,2265.805853,2418.58814,2476.299312,2568.442478,2691.89729,2762.942018,2767.974836,2817.572722,2914.237667,3021.4092,3153.682358,3311.734005,3442.73448
"Congo, Dem. Rep.",455.8150878,443.5747121,450.4504171,469.7704098,498.9798703,528.9747838,555.799958,586.9952654,615.0719745,616.6586194,646.2953953,682.007332,719.914259,768.6449157,829.3626456,867.0883574
"Congo, Rep.",3677.147746,3790.96904,3914.89949,3906.125177,4028.312196,4337.194228,4591.995561,4483.926647,4663.011862,4886.383669,5214.502782,5353.804296,5518.967422,5667.595799,6017.671947,6089.839655
Colombia,6694.81285,6848.278541,7022.739601,7324.400853,7811.230086,8320.569299,9036.314249,9792.902952,10188.01706,10274.48986,10732.74905,11650.19949,12226.28584,12891.37931,13618.12436,14006.15358
Comoros,1900.656026,1939.276549,1967.64432,1998.168463,2042.269826,2114.657068,2183.490414,2206.559329,2283.896913,2318.430196,2376.538886,2465.324918,2531.037977,2627.3439,2668.895231,2664.270877
Cabo Verde,3101.002514,3183.819402,3348.349609,3497.853193,3900.335986,4240.265086,4655.64533,5437.709911,5841.058767,5741.218207,5821.739805,6102.412164,6207.361424,6285.969823,6362.960401,6415.612462
Costa Rica,7787.377759,8089.579389,8349.671125,8732.228946,9220.889154,9737.088813,10609.50688,11625.93049,12240.57907,12058.52382,12644.69665,13302.92828,14041.99378,14445.89836,15067.31118,15610.87955
Cayman Islands,62144.8997,61515.84102,61566.92107,62207.35227,62748.13144,67007.34676,70105.89991,72078.25335,71101.471,64698.99043,62158.60304,62861.18074,63666.6115,64546.38605,66497.01153,68131.32457
Cyprus,21291.43211,22871.52603,23556.26141,24252.82356,25921.20781,27763.21009,29984.36507,32849.77692,34830.3699,33891.67453,33421.04262,33313.53723,31834.49956,30375.21718,30042.81289,31722.36651
Czech Republic,16190.80503,17554.48772,18189.23435,19426.08513,20799.15764,21956.38386,23776.48706,26124.89545,27844.79533,27599.30086,27667.4329,28797.41796,29047.24644,30485.71415,32263.31575,33691.42424
Germany,27202.79337,28380.38412,29178.63747,29875.02793,31305.28794,31794.09601,34124.87427,36252.41196,37802.38743,36823.38028,38949.54976,42541.53109,43359.61483,44993.89275,47011.55109,47683.7886
